year,state,State CPI
1989,AL,4.002483725279082
1990,AL,3.5490795935105117
1991,AL,3.5980642262880487
1992,AL,1.0778421388391866
1993,AL,2.4451133303307833
1994,AL,1.8730103625206531
1995,AL,2.067268578318523
1996,AL,3.222153165
1997,AL,1.542185298678822
1998,AL,0.4841437520065964
1999,AL,1.8267314932964072
2000,AL,2.8083299575911633
2001,AL,2.4561278427698117
2002,AL,2.684094612777674
2003,AL,1.8266948302328705
2004,AL,2.190431785
2005,AL,1.7668707384446256
2006,AL,3.2393061378217016
2007,AL,2.275068949763277
2008,AL,4.367952905902762
2009,AL,1.1821711181752763
2010,AL,2.9448266979163105
2011,AL,4.528967618564256
2012,AL,2.6066739342135583
2013,AL,1.3049823797298232
2014,AL,0.7720682281527741
2015,AL,0.030641626
2016,AL,0.749963196
2017,AL,1.0
1978,AK,2.969952260228269
1979,AK,5.475241911874895
1980,AK,5.778768378158649
1981,AK,5.170327756953948
1982,AK,2.7136006898010776
1983,AK,4.568481685146434
1984,AK,2.890925121113762
1985,AK,1.5161705730640571
1986,AK,1.353963727285448
1989,AK,3.3637143003353605
1990,AK,3.688337553
1991,AK,3.0696756877572406
1992,AK,1.3885475183041365
1993,AK,2.304798112
1994,AK,1.434759321559893
1995,AK,1.8631314249053856
1996,AK,2.8873761264273017
1997,AK,2.001544720167871
1998,AK,1.0961998801662105
1999,AK,1.2083748649843618
2000,AK,1.2243869172908688
2001,AK,2.6779388129284105
2002,AK,1.3326638174604186
2003,AK,2.461626862773558
2004,AK,3.745810612049249
2005,AK,3.4836294489027497
2006,AK,4.105641697209243
2007,AK,2.6514815047066085
2008,AK,3.3246046585284557
2009,AK,3.269726120139714
2010,AK,1.0
2011,AK,2.8267376091671172
2012,AK,1.884417240374004
2013,AK,3.911094739900407
2014,AK,1.6227007984751916
2015,AK,1.6011323322245747
2016,AK,0.6550191846227296
2017,AK,1.715607074996616
1989,AR,4.288569448
1990,AR,3.790810698
1991,AR,3.706301162278168
1992,AR,1.907184320902865
1993,AR,2.522443552272423
1994,AR,2.1890889615853544
1995,AR,1.943260453373667
1996,AR,2.5768958443887033
1997,AR,2.2512416998209415
1998,AR,0.2618016032041532
1999,AR,1.0
2000,AR,2.794746297566479
2001,AR,2.261168629221811
2002,AR,1.9825120168954715
2003,AR,1.0
2004,AR,1.0
2005,AR,2.8993396418161783
2006,AR,2.320427737880517
2007,AR,2.103043813160757
2008,AR,2.7170727665380174
2009,AR,1.0
2010,AR,0.6874988352533866
2011,AR,2.416995743032243
2012,AR,2.315834244115641
2013,AR,1.757040755795259
2014,AR,2.213712495399876
2015,AR,1.0
2016,AR,1.0
2017,AR,3.693378282691954
1978,CA,7.162439869884905
1979,CA,10.990761148308032
1980,CA,12.149670802736637
1981,CA,8.776594967593207
1982,CA,6.032541741745677
1983,CA,3.384829674695647
1984,CA,4.1944627598101345
1985,CA,3.3773400482263796
1986,CA,2.35155827
1989,CA,4.2951707066377605
1990,CA,4.129924491480585
1991,CA,4.063099392988735
1992,CA,2.6807775940756384
1993,CA,2.543929224272356
1994,CA,1.7849719773965629
1995,CA,2.0263520088103784
1996,CA,1.6118536256284837
1997,CA,2.0160413255315652
1998,CA,0.327879601
1999,CA,2.312991222960145
2000,CA,3.446624787642031
2001,CA,3.462844803615281
2002,CA,2.8640751172080883
2003,CA,2.6971900384903225
2004,CA,1.7074284249462597
2005,CA,3.5135079546625776
2006,CA,3.7194982805651216
2007,CA,2.140029795726357
2008,CA,2.998006518324194
2009,CA,0.699054061
2010,CA,2.8411922548566477
2011,CA,2.8150233005607994
2012,CA,1.326438817267633
2013,CA,1.2860458863430562
2014,CA,1.638660974922725
2015,CA,1.2572911728222644
2016,CA,2.30789128
2017,CA,1.6522690707932552
1989,CO,4.888768115317954
1990,CO,3.2801852587951106
1991,CO,3.0169688302022037
1992,CO,1.9693043571403337
1993,CO,1.3669668634586336
1994,CO,2.148441537250818
1995,CO,2.762957195562199
1996,CO,1.6164866558363449
1997,CO,2.436827800405319
1998,CO,1.317489247598419
1999,CO,1.990317088236004
2000,CO,3.933720821224258
2001,CO,5.3384867770376525
2002,CO,3.1025326029397675
2003,CO,2.650209372696581
2004,CO,2.1040884354896128
2005,CO,3.892338294106815
2006,CO,3.2368993621126396
2007,CO,2.438888175970318
2008,CO,4.280392807597513
2009,CO,0.940423451
2010,CO,3.0960366234628203
2011,CO,5.272659391445345
2012,CO,2.6324711143520254
2013,CO,2.752683373
2014,CO,3.1527038929361435
2015,CO,0.7860314929831435
2016,CO,1.0
2017,CO,2.149185821403143
1989,CT,5.128736220902216
1990,CT,4.779335131
1991,CT,3.034905470089055
1992,CT,4.0025408646257885
1993,CT,0.980568285
1994,CT,1.0
1995,CT,0.8117105635205111
1996,CT,2.624260202474517
1997,CT,0.8789553223439643
1998,CT,1.0
1999,CT,1.0
2000,CT,2.2853811632589167
2001,CT,2.322860043570154
2002,CT,0.2293725349676325
2003,CT,2.949600525668846
2004,CT,1.2074696389848578
